algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.212,4.042,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.291,4.302,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.772,2.573,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.015,3.385,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.795,2.650,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.063,3.544,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.858,2.859,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.040,3.467,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.825,2.750,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.003,3.343,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.260,4.201,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.356,4.520,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.953,3.178,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.194,3.980,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.916,3.054,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.194,3.980,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.978,3.261,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.193,3.976,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.969,3.229,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.170,3.901,0.00000000
builtin,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.660,5.533,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.683,5.610,0.00000000
recursive-doubling-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.357,4.523,0.00000000
recursive-doubling-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.580,5.266,0.00000000
swing-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.395,4.650,0.00000006
swing-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.613,5.376,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.517,5.058,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.551,5.170,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.439,4.796,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.555,5.183,0.00000000
builtin,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.347,7.825,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.814,9.381,0.00000000
recursive-doubling-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.526,8.420,0.00000000
recursive-doubling-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.723,9.077,0.00000000
swing-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.469,8.228,0.00000012
