model_label,family,selected_algo,selected_time_ms,grad_size_bytes,grad_size_mib,trivance_time_ms,relative_vs_trivance_pct,plot_type
h32_l2,Ring,ring,4.175400000000001,71208,0.067909,2.6702,56.37030934012437,mean_of_runs
h32_l2,RecDoub,recursive-doubling-latency,2.73105,71208,0.067909,2.6702,2.2788555164407365,mean_of_runs
h32_l2,Swing,swing-latency,2.731275,71208,0.067909,2.6702,2.2872818515467186,mean_of_runs
h32_l2,Bruck,bruck-latency,2.7364,71208,0.067909,2.6702,2.4792150400719137,mean_of_runs
h32_l2,Trivance,trivance-latency,2.6702,71208,0.067909,2.6702,0.0,mean_of_runs
h64_l2,Ring,ring,4.7342,150568,0.143593,3.1646,49.59868545787778,mean_of_runs
h64_l2,RecDoub,recursive-doubling-latency,3.279825,150568,0.143593,3.1646,3.6410604815774628,mean_of_runs
h64_l2,Swing,swing-latency,3.29985,150568,0.143593,3.1646,4.273841875750484,mean_of_runs
h64_l2,Bruck,bruck-latency,3.2436,150568,0.143593,3.1646,2.4963660494217166,mean_of_runs
h64_l2,Trivance,trivance-latency,3.1646,150568,0.143593,3.1646,0.0,mean_of_runs
h128_l2,Ring,ring,5.6628,333864,0.318398,4.947,14.46937537901758,mean_of_runs
h128_l2,RecDoub,recursive-doubling-latency,4.74525,333864,0.318398,4.947,-4.078229229836261,mean_of_runs
h128_l2,Swing,swing-latency,4.83705,333864,0.318398,4.947,-2.222559126743495,mean_of_runs
h128_l2,Bruck,bruck-latency,4.9408,333864,0.318398,4.947,-0.12532848190822676,mean_of_runs
h128_l2,Trivance,trivance-latency,4.947,333864,0.318398,4.947,0.0,mean_of_runs
h256_l2,Ring,ring,9.2402,798760,0.761757,9.0292,2.336862623488245,mean_of_runs
h256_l2,RecDoub,recursive-doubling-latency,8.741925,798760,0.761757,9.0292,-3.18162184911176,mean_of_runs
h256_l2,Swing,swing-latency,8.469899999999999,798760,0.761757,9.0292,-6.194347228990393,mean_of_runs
h256_l2,Bruck,bruck-latency,9.2452,798760,0.761757,9.0292,2.3922385150401126,mean_of_runs
h256_l2,Trivance,trivance-latency,9.0292,798760,0.761757,9.0292,0.0,mean_of_runs
h512_l2,Ring,ring,16.9866,2121768,2.023476,19.287200000000002,-11.928118130158872,mean_of_runs
h512_l2,RecDoub,recursive-doubling-latency,19.847025,2121768,2.023476,19.287200000000002,2.9025726906964033,mean_of_runs
h512_l2,Swing,swing-latency,19.897650000000002,2121768,2.023476,19.287200000000002,3.165052470031937,mean_of_runs
h512_l2,Bruck,bruck-bandwidth,19.3234,2121768,2.023476,19.287200000000002,0.18768924468040016,mean_of_runs
h512_l2,Trivance,trivance-bandwidth,19.287200000000002,2121768,2.023476,19.287200000000002,0.0,mean_of_runs
h1024_l2,Ring,ring,54.00580000000001,6340648,6.046913,60.91700000000001,-11.34527307648111,mean_of_runs
h1024_l2,RecDoub,recursive-doubling-latency,57.566475000000004,6340648,6.046913,60.91700000000001,-5.500147742009631,mean_of_runs
h1024_l2,Swing,swing-latency,57.39705,6340648,6.046913,60.91700000000001,-5.778272075118618,mean_of_runs
h1024_l2,Bruck,bruck-bandwidth,61.59740000000001,6340648,6.046913,60.91700000000001,1.1169295927245138,mean_of_runs
h1024_l2,Trivance,trivance-bandwidth,60.91700000000001,6340648,6.046913,60.91700000000001,0.0,mean_of_runs
h1024_l4,Ring,ring,111.1922,14737448,14.054726,123.0752,-9.655072671017395,mean_of_runs
h1024_l4,RecDoub,recursive-doubling-latency,118.3374,14737448,14.054726,123.0752,-3.849516393229502,mean_of_runs
h1024_l4,Swing,swing-latency,119.8161,14737448,14.054726,123.0752,-2.6480558227815143,mean_of_runs
h1024_l4,Bruck,bruck-bandwidth,126.39880000000001,14737448,14.054726,123.0752,2.700462806479309,mean_of_runs
h1024_l4,Trivance,trivance-bandwidth,123.0752,14737448,14.054726,123.0752,0.0,mean_of_runs
h32_l2,Ring,ring_worst_repeat,4.273,71208,0.067909,2.615,63.403441682600345,trivance_best
h32_l2,RecDoub,recdoub_best_variant_worst_repeat,2.797875,71208,0.067909,2.615,6.993307839388141,trivance_best
h32_l2,Swing,swing_best_variant_worst_repeat,2.881125,71208,0.067909,2.615,10.176864244741868,trivance_best
h32_l2,Bruck,bruck_best_variant_worst_repeat,2.763,71208,0.067909,2.615,5.6596558317399515,trivance_best
h32_l2,Trivance,trivance_best_repeat,2.615,71208,0.067909,2.615,0.0,trivance_best
h64_l2,Ring,ring_worst_repeat,4.847,150568,0.143593,3.136,54.559948979591844,trivance_best
h64_l2,RecDoub,recdoub_best_variant_worst_repeat,3.396375,150568,0.143593,3.136,8.302774234693878,trivance_best
h64_l2,Swing,swing_best_variant_worst_repeat,3.38175,150568,0.143593,3.136,7.836415816326525,trivance_best
h64_l2,Bruck,bruck_best_variant_worst_repeat,3.32,150568,0.143593,3.136,5.867346938775508,trivance_best
h64_l2,Trivance,trivance_best_repeat,3.136,150568,0.143593,3.136,0.0,trivance_best
h128_l2,Ring,ring_worst_repeat,5.906,333864,0.318398,4.873,21.1984403857993,trivance_best
h128_l2,RecDoub,recdoub_best_variant_worst_repeat,5.088375,333864,0.318398,4.873,4.419761953621992,trivance_best
h128_l2,Swing,swing_best_variant_worst_repeat,5.211,333864,0.318398,4.873,6.936178945208282,trivance_best
h128_l2,Bruck,bruck_best_variant_worst_repeat,5.06,333864,0.318398,4.873,3.8374717832956984,trivance_best
h128_l2,Trivance,trivance_best_repeat,4.873,333864,0.318398,4.873,0.0,trivance_best
h256_l2,Ring,ring_worst_repeat,9.45,798760,0.761757,8.919,5.953582240161448,trivance_best
h256_l2,RecDoub,recdoub_best_variant_worst_repeat,9.091125,798760,0.761757,8.919,1.9298688193743585,trivance_best
h256_l2,Swing,swing_best_variant_worst_repeat,9.084375,798760,0.761757,8.919,1.8541876892028242,trivance_best
h256_l2,Bruck,bruck_best_variant_worst_repeat,9.364,798760,0.761757,8.919,4.989348581679565,trivance_best
h256_l2,Trivance,trivance_best_repeat,8.919,798760,0.761757,8.919,0.0,trivance_best
h512_l2,Ring,ring_worst_repeat,17.15,2121768,2.023476,18.725,-8.41121495327104,trivance_best
h512_l2,RecDoub,recdoub_best_variant_worst_repeat,20.626875,2121768,2.023476,18.725,10.156875834445911,trivance_best
h512_l2,Swing,swing_best_variant_worst_repeat,20.67075,2121768,2.023476,18.725,10.391188251001338,trivance_best
h512_l2,Bruck,bruck_best_variant_worst_repeat,19.661,2121768,2.023476,18.725,4.998664886515347,trivance_best
h512_l2,Trivance,trivance_best_repeat,18.725,2121768,2.023476,18.725,0.0,trivance_best
h1024_l2,Ring,ring_worst_repeat,57.396,6340648,6.046913,59.35,-3.292333614153331,trivance_best
h1024_l2,RecDoub,recdoub_best_variant_worst_repeat,59.66325,6340648,6.046913,59.35,0.5278011794439763,trivance_best
h1024_l2,Swing,swing_best_variant_worst_repeat,60.872625,6340648,6.046913,59.35,2.565501263689973,trivance_best
h1024_l2,Bruck,bruck_best_variant_worst_repeat,62.155,6340648,6.046913,59.35,4.726200505475986,trivance_best
h1024_l2,Trivance,trivance_best_repeat,59.35,6340648,6.046913,59.35,0.0,trivance_best
h1024_l4,Ring,ring_worst_repeat,113.158,14737448,14.054726,121.623,-6.960032230745828,trivance_best
h1024_l4,RecDoub,recdoub_best_variant_worst_repeat,120.60675,14737448,14.054726,121.623,-0.8355738634962084,trivance_best
h1024_l4,Swing,swing_best_variant_worst_repeat,122.175,14737448,14.054726,121.623,0.4538615229027432,trivance_best
h1024_l4,Bruck,bruck_best_variant_worst_repeat,128.898,14737448,14.054726,121.623,5.981598875212746,trivance_best
h1024_l4,Trivance,trivance_best_repeat,121.623,14737448,14.054726,121.623,0.0,trivance_best
