algo,model_name,model_label,world_size,steps,batch_size,block_size,bucket_cap_mb,dtype,repeat_id,total_params,trainable_params,hook_calls,total_training_time_sec,avg_step_time_ms,parameter_checksum_max_diff,torchrun_status,accepted,log_file
builtin,EleutherAI/pythia-410m,EleutherAI_pythia_410m,3,100,1,128,25,fp32,1,405278720,405278720,[3763; 3763; 3763],8.462,84.623,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_410m_builtin_n3_rep1.log
ring,EleutherAI/pythia-410m,EleutherAI_pythia_410m,3,100,1,128,25,fp32,1,405278720,405278720,[3763; 3763; 3763],11.386,113.861,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_410m_ring_n3_rep1.log
trivance-bandwidth,EleutherAI/pythia-410m,EleutherAI_pythia_410m,3,100,1,128,25,fp32,1,405278720,405278720,[3763; 3763; 3763],11.650,116.500,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_410m_trivance-bandwidth_n3_rep1.log
builtin,EleutherAI/pythia-1b,EleutherAI_pythia_1b,3,100,1,128,25,fp32,1,1011671040,1011671040,[4951; 4951; 4951],12.957,129.566,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1b_builtin_n3_rep1.log
ring,EleutherAI/pythia-1b,EleutherAI_pythia_1b,3,100,1,128,25,fp32,1,1011671040,1011671040,[4951; 4951; 4951],20.724,207.244,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1b_ring_n3_rep1.log
trivance-bandwidth,EleutherAI/pythia-1b,EleutherAI_pythia_1b,3,100,1,128,25,fp32,1,1011671040,1011671040,[4951; 4951; 4951],16.579,165.790,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1b_trivance-bandwidth_n3_rep1.log
builtin,EleutherAI/pythia-1.4b,EleutherAI_pythia_1_4b,3,100,1,128,25,fp32,1,1414537216,1414537216,[7327; 7327; 7327],18.121,181.208,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1_4b_builtin_n3_rep1.log
ring,EleutherAI/pythia-1.4b,EleutherAI_pythia_1_4b,3,100,1,128,25,fp32,1,1414537216,1414537216,[7327; 7327; 7327],29.269,292.687,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1_4b_ring_n3_rep1.log
trivance-bandwidth,EleutherAI/pythia-1.4b,EleutherAI_pythia_1_4b,3,100,1,128,25,fp32,1,1414537216,1414537216,[7327; 7327; 7327],22.669,226.692,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1_4b_trivance-bandwidth_n3_rep1.log
builtin,EleutherAI/pythia-410m,EleutherAI_pythia_410m,3,100,1,128,25,fp32,2,405278720,405278720,[3763; 3763; 3763],8.699,86.989,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_410m_builtin_n3_rep2.log
ring,EleutherAI/pythia-410m,EleutherAI_pythia_410m,3,100,1,128,25,fp32,2,405278720,405278720,[3763; 3763; 3763],11.020,110.200,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_410m_ring_n3_rep2.log
trivance-bandwidth,EleutherAI/pythia-410m,EleutherAI_pythia_410m,3,100,1,128,25,fp32,2,405278720,405278720,[3763; 3763; 3763],11.759,117.591,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_410m_trivance-bandwidth_n3_rep2.log
builtin,EleutherAI/pythia-1b,EleutherAI_pythia_1b,3,100,1,128,25,fp32,2,1011671040,1011671040,[4951; 4951; 4951],12.936,129.362,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1b_builtin_n3_rep2.log
ring,EleutherAI/pythia-1b,EleutherAI_pythia_1b,3,100,1,128,25,fp32,2,1011671040,1011671040,[4951; 4951; 4951],20.633,206.329,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1b_ring_n3_rep2.log
trivance-bandwidth,EleutherAI/pythia-1b,EleutherAI_pythia_1b,3,100,1,128,25,fp32,2,1011671040,1011671040,[4951; 4951; 4951],16.523,165.229,0.000000000000e+00,0,true,logs_pythia_3gpu_completion/EleutherAI_pythia_1b_trivance-bandwidth_n3_rep2.log
