algo,world_size,input_dim,hidden_dim,num_classes,num_layers,model_label,target_vector_size_bytes,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff,torchrun_status,accepted
bidirectional-ring,7,251,1,2,1,1KiB,1024,256,1024,0.000977,100,64,25,1,1,2.742,27.419,0.00000000,0,completed
ring,7,251,1,2,1,1KiB,1024,256,1024,0.000977,100,64,25,1,1,1.735,17.347,0.00000000,0,completed
builtin,7,251,1,2,1,1KiB,1024,256,1024,0.000977,100,64,25,1,1,0.442,4.419,0.00000000,0,completed
bidirectional-ring,7,507,1,2,1,2KiB,2048,512,2048,0.001953,100,64,25,1,1,2.710,27.100,0.00000000,0,completed
ring,7,507,1,2,1,2KiB,2048,512,2048,0.001953,100,64,25,1,1,1.823,18.230,0.00000000,0,completed
builtin,7,507,1,2,1,2KiB,2048,512,2048,0.001953,100,64,25,1,1,0.638,6.378,0.00000000,0,completed
bidirectional-ring,7,1019,1,2,1,4KiB,4096,1024,4096,0.003906,100,64,25,1,1,2.758,27.583,0.00000000,0,completed
ring,7,1019,1,2,1,4KiB,4096,1024,4096,0.003906,100,64,25,1,1,1.875,18.750,0.00000000,0,completed
builtin,7,1019,1,2,1,4KiB,4096,1024,4096,0.003906,100,64,25,1,1,0.576,5.757,0.00000000,0,completed
bidirectional-ring,7,2043,1,2,1,8KiB,8192,2048,8192,0.007812,100,64,25,1,1,2.912,29.119,0.00000000,0,completed
ring,7,2043,1,2,1,8KiB,8192,2048,8192,0.007812,100,64,25,1,1,1.914,19.137,0.00000000,0,completed
builtin,7,2043,1,2,1,8KiB,8192,2048,8192,0.007812,100,64,25,1,1,0.655,6.547,0.00000000,0,completed
bidirectional-ring,7,4091,1,2,1,16KiB,16384,4096,16384,0.015625,100,64,25,1,1,2.822,28.218,0.00000000,0,completed
ring,7,4091,1,2,1,16KiB,16384,4096,16384,0.015625,100,64,25,1,1,1.942,19.423,0.00000000,0,completed
builtin,7,4091,1,2,1,16KiB,16384,4096,16384,0.015625,100,64,25,1,1,0.610,6.103,0.00000000,0,completed
bidirectional-ring,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,1,2.652,26.521,0.00000000,0,completed
ring,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,1,1.833,18.326,0.00000000,0,completed
builtin,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,1,0.552,5.520,0.00000000,0,completed
bidirectional-ring,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,1,2.668,26.682,0.00000000,0,completed
ring,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,1,1.890,18.904,0.00000000,0,completed
