algo,size_label,target_vector_size_bytes,target_params,input_dim,actual_total_params,actual_vector_size_bytes,world_size,steps,batch_size,bucket_cap_mb,repeat_id,hook_calls,total_training_time_sec,avg_step_time_ms,parameter_max_diff,torchrun_status,accepted,log_file
builtin,32B,32,8,3,8,32,3,100,4,64,1,[100; 100; 100],0.355,3.549,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_builtin_rep1.log
ring,32B,32,8,3,8,32,3,100,4,64,1,[100; 100; 100],0.874,8.738,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_ring_rep1.log
trivance-latency,32B,32,8,3,8,32,3,100,4,64,1,[100; 100; 100],1.521,15.215,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_trivance_latency_rep1.log
trivance-bandwidth,32B,32,8,3,8,32,3,100,4,64,1,[100; 100; 100],1.796,17.957,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_trivance_bandwidth_rep1.log
builtin,128B,128,32,27,32,128,3,100,4,64,1,[100; 100; 100],0.327,3.272,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_builtin_rep1.log
ring,128B,128,32,27,32,128,3,100,4,64,1,[100; 100; 100],0.927,9.272,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_ring_rep1.log
trivance-latency,128B,128,32,27,32,128,3,100,4,64,1,[100; 100; 100],1.486,14.863,0.00000001,0,true,logs_synthetic_vector_size_3gpu/128B_trivance_latency_rep1.log
trivance-bandwidth,128B,128,32,27,32,128,3,100,4,64,1,[100; 100; 100],1.660,16.601,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_trivance_bandwidth_rep1.log
builtin,512B,512,128,123,128,512,3,100,4,64,1,[100; 100; 100],0.297,2.975,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_builtin_rep1.log
ring,512B,512,128,123,128,512,3,100,4,64,1,[100; 100; 100],0.944,9.436,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_ring_rep1.log
trivance-latency,512B,512,128,123,128,512,3,100,4,64,1,[100; 100; 100],1.609,16.088,0.00000001,0,true,logs_synthetic_vector_size_3gpu/512B_trivance_latency_rep1.log
trivance-bandwidth,512B,512,128,123,128,512,3,100,4,64,1,[100; 100; 100],1.652,16.522,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_trivance_bandwidth_rep1.log
builtin,2KiB,2048,512,507,512,2048,3,100,4,64,1,[100; 100; 100],0.300,2.996,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_builtin_rep1.log
ring,2KiB,2048,512,507,512,2048,3,100,4,64,1,[100; 100; 100],0.928,9.284,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_ring_rep1.log
trivance-latency,2KiB,2048,512,507,512,2048,3,100,4,64,1,[100; 100; 100],1.423,14.228,0.00000003,0,true,logs_synthetic_vector_size_3gpu/2KiB_trivance_latency_rep1.log
trivance-bandwidth,2KiB,2048,512,507,512,2048,3,100,4,64,1,[100; 100; 100],1.663,16.631,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_trivance_bandwidth_rep1.log
