algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,normalized_total_training_time_sec,normalized_avg_step_time_ms,parameter_max_diff
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.237,4.124,1.237,4.124,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.817,2.724,0.817,2.724,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.056,3.520,1.056,3.520,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.800,2.666,0.800,2.666,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.025,3.416,1.025,3.416,0.00000000
recursive-doubling-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.731,2.437,0.822375,2.741625,0.00000000
recursive-doubling-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.906,3.021,1.019250,3.398625,0.00000000
swing-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.721,2.404,0.811125,2.704500,0.00000009
swing-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.972,3.238,1.093500,3.642750,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.410,4.700,1.410,4.700,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.963,3.208,0.963,3.208,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.176,3.919,1.176,3.919,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.943,3.145,0.943,3.145,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.192,3.972,1.192,3.972,0.00000000
recursive-doubling-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.906,3.019,1.019250,3.396375,0.00000000
recursive-doubling-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.985,3.282,1.108125,3.692250,0.00000000
swing-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.890,2.965,1.001250,3.335625,0.00000252
swing-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.045,3.484,1.175625,3.919500,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.717,5.722,1.717,5.722,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.492,4.975,1.492,4.975,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.584,5.280,1.584,5.280,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.462,4.873,1.462,4.873,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.595,5.316,1.595,5.316,0.00000000
recursive-doubling-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.245,4.152,1.400625,4.671000,0.00000000
recursive-doubling-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.518,5.061,1.707750,5.693625,0.00000000
swing-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.294,4.314,1.455750,4.853250,0.00000013
swing-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.414,4.714,1.590750,5.303250,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.835,9.450,2.835,9.450,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.778,9.259,2.778,9.259,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.853,9.510,2.853,9.510,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.727,9.090,2.727,9.090,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.828,9.428,2.828,9.428,0.00000000
recursive-doubling-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.290,7.634,2.576250,8.588250,0.00000000
recursive-doubling-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.436,8.120,2.740500,9.135000,0.00000000
swing-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.306,7.686,2.594250,8.646750,0.00000214
swing-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.686,8.953,3.021750,10.072125,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.117,17.058,5.117,17.058,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.458,21.527,6.458,21.527,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.816,19.385,5.816,19.385,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.476,21.586,6.476,21.586,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.781,19.270,5.781,19.270,0.00000000
recursive-doubling-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.011,16.703,5.637375,18.790875,0.00000000
recursive-doubling-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.174,20.579,6.945750,23.151375,0.00000000
swing-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.463,18.209,6.145875,20.485125,0.00000081
swing-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.916,19.718,6.655500,22.182750,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.219,57.396,17.219,57.396,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,19.558,65.192,19.558,65.192,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.647,62.155,18.647,62.155,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,19.068,63.560,19.068,63.560,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.999,59.997,17.999,59.997,0.00000000
recursive-doubling-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,14.720,49.067,16.560000,55.200375,0.00000000
recursive-doubling-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,16.626,55.418,18.704250,62.345250,0.00000000
swing-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,14.489,48.298,16.300125,54.335250,0.00000178
swing-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.558,58.528,19.752750,65.844000,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,33.947,113.158,33.947,113.158,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,41.849,139.497,41.849,139.497,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,38.669,128.898,38.669,128.898,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,39.353,131.178,39.353,131.178,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,36.760,122.534,36.760,122.534,0.00000000
recursive-doubling-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,29.772,99.241,33.493500,111.646125,0.00000000
recursive-doubling-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,33.217,110.724,37.369125,124.564500,0.00000000
swing-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,33.462,111.541,37.644750,125.483625,0.00000100
swing-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,32.580,108.600,36.652500,122.175000,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.274,4.246,1.274,4.246,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.823,2.742,0.823,2.742,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.051,3.504,1.051,3.504,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.808,2.695,0.808,2.695,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.005,3.349,1.005,3.349,0.00000000
recursive-doubling-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.746,2.487,0.839250,2.797875,0.00000000
recursive-doubling-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.940,3.133,1.057500,3.524625,0.00000000
swing-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.768,2.561,0.864000,2.881125,0.00000009
swing-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.944,3.147,1.062000,3.540375,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.414,4.714,1.414,4.714,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.964,3.215,0.964,3.215,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.255,4.182,1.255,4.182,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.948,3.159,0.948,3.159,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.172,3.906,1.172,3.906,0.00000000
recursive-doubling-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.862,2.872,0.969750,3.231000,0.00000000
recursive-doubling-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.025,3.417,1.153125,3.844125,0.00000000
swing-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.842,2.806,0.947250,3.156750,0.00000252
swing-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.094,3.645,1.230750,4.100625,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.686,5.620,1.686,5.620,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.435,4.784,1.435,4.784,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.554,5.179,1.554,5.179,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.483,4.942,1.483,4.942,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.549,5.163,1.549,5.163,0.00000000
recursive-doubling-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.254,4.179,1.410750,4.701375,0.00000000
recursive-doubling-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.403,4.677,1.578375,5.261625,0.00000000
swing-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.231,4.103,1.384875,4.615875,0.00000013
swing-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.446,4.820,1.626750,5.422500,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.760,9.201,2.760,9.201,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.770,9.233,2.770,9.233,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.803,9.343,2.803,9.343,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.676,8.919,2.676,8.919,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.807,9.357,2.807,9.357,0.00000000
recursive-doubling-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.424,8.081,2.727000,9.091125,0.00000000
recursive-doubling-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.522,8.408,2.837250,9.459000,0.00000000
swing-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.012,6.706,2.263500,7.544250,0.00000214
swing-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.367,7.888,2.662875,8.874000,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,4.977,16.589,4.977,16.589,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,6.456,21.520,6.456,21.520,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.604,18.680,5.604,18.680,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,6.398,21.325,6.398,21.325,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.917,19.725,5.917,19.725,0.00000000
recursive-doubling-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.373,17.908,6.044625,20.146500,0.00000000
recursive-doubling-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,6.064,20.212,6.822000,22.738500,0.00000000
swing-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.181,17.272,5.828625,19.431000,0.00000081
swing-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.980,19.934,6.727500,22.425750,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,16.080,53.600,16.080,53.600,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,19.033,63.443,19.033,63.443,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,18.374,61.246,18.374,61.246,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,18.289,60.963,18.289,60.963,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,18.475,61.585,18.475,61.585,0.00000000
recursive-doubling-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,15.611,52.036,17.562375,58.540500,0.00000000
recursive-doubling-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,16.714,55.712,18.803250,62.676000,0.00000000
swing-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,15.301,51.005,17.213625,57.380625,0.00000178
swing-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,17.342,57.806,19.509750,65.031750,0.00000000
